"Trial.key","Frame.number","Evidence.for.stim.1","Evidence.for.stim.2"
1,0,176,224
2,0,227,173
3,0,173,227
4,0,224,176
5,0,221,179
6,0,182,218
7,0,215,185
8,0,212,188
9,0,191,209
10,0,206,194
11,0,197,203
12,0,194,206
13,0,209,191
14,0,191,209
15,0,206,194
16,0,203,197
17,0,201,199
18,0,199,201
19,0,204,196
20,0,207,193
21,0,207,193
22,0,204,196
23,0,207,193
24,0,210,190
25,0,190,210
26,0,193,207
27,0,190,210
28,0,213,187
29,0,187,213
30,0,210,190
31,0,207,193
32,0,204,196
33,0,201,199
34,0,199,201
35,0,204,196
36,0,196,204
37,0,199,201
38,0,204,196
39,0,196,204
40,0,201,199
41,0,204,196
42,0,204,196
43,0,199,201
44,0,204,196
45,0,196,204
46,0,193,207
47,0,190,210
48,0,190,210
49,0,213,187
50,0,213,187
51,0,210,190
52,0,207,193
53,0,196,204
54,0,207,193
55,0,207,193
56,0,204,196
57,0,201,199
58,0,201,199
59,0,201,199
60,0,196,204
61,0,207,193
62,0,193,207
63,0,190,210
64,0,210,190
65,0,193,207
66,0,204,196
67,0,199,201
68,0,196,204
69,0,207,193
70,0,193,207
71,0,190,210
72,0,210,190
73,0,193,207
74,0,190,210
75,0,187,213
76,0,213,187
77,0,210,190
78,0,193,207
79,0,204,196
80,0,199,201
81,0,201,199
82,0,199,201
83,0,201,199
84,0,199,201
85,0,204,196
86,0,196,204
87,0,199,201
88,0,196,204
89,0,207,193
90,0,193,207
91,0,204,196
92,0,201,199
93,0,199,201
94,0,204,196
95,0,204,196
96,0,201,199
97,0,196,204
98,0,204,196
99,0,199,201
100,0,204,196
101,0,193,207
102,0,207,193
103,0,190,210
104,0,190,210
105,0,213,187
106,0,187,213
107,0,190,210
108,0,193,207
109,0,196,204
110,0,199,201
111,0,201,199
112,0,199,201
113,0,201,199
114,0,199,201
115,0,199,201
116,0,204,196
117,0,204,196
118,0,201,199
119,0,204,196
120,0,196,204
121,0,201,199
122,0,201,199
123,0,199,201
124,0,196,204
125,0,196,204
126,0,193,207
127,0,207,193
128,0,190,210
129,0,210,190
130,0,193,207
131,0,190,210
132,0,210,190
133,0,193,207
134,0,210,190
135,0,190,210
136,0,193,207
137,0,210,190
138,0,210,190
139,0,207,193
140,0,196,204
141,0,207,193
142,0,190,210
143,0,190,210
144,0,207,193
145,0,196,204
146,0,199,201
147,0,201,199
148,0,201,199
149,0,196,204
150,0,193,207
151,0,190,210
152,0,187,213
153,0,187,213
154,0,210,190
155,0,207,193
156,0,196,204
157,0,207,193
158,0,193,207
159,0,210,190
160,0,210,190
161,0,193,207
162,0,204,196
163,0,199,201
164,0,201,199
165,0,204,196
166,0,204,196
167,0,201,199
168,0,201,199
169,0,196,204
170,0,207,193
171,0,193,207
172,0,204,196
173,0,201,199
174,0,196,204
175,0,196,204
176,0,207,193
177,0,190,210
178,0,190,210
179,0,193,207
180,0,196,204
181,0,199,201
182,0,199,201
183,0,204,196
184,0,193,207
185,0,207,193
186,0,204,196
187,0,193,207
188,0,210,190
189,0,190,210
190,0,193,207
191,0,196,204
192,0,199,201
193,0,199,201
194,0,201,199
195,0,201,199
196,0,204,196
197,0,207,193
198,0,207,193
199,0,204,196
200,0,201,199
201,0,204,196
202,0,193,207
203,0,207,193
204,0,190,210
205,0,190,210
206,0,213,187
207,0,187,213
208,0,190,210
209,0,193,207
210,0,196,204
211,0,201,199
212,0,201,199
213,0,204,196
214,0,193,207
215,0,210,190
216,0,190,210
217,0,193,207
218,0,190,210
219,0,210,190
220,0,193,207
221,0,196,204
222,0,207,193
223,0,207,193
224,0,204,196
225,0,193,207
226,0,207,193
227,0,204,196
228,0,201,199
229,0,201,199
230,0,204,196
231,0,207,193
232,0,210,190
233,0,190,210
234,0,213,187
235,0,187,213
236,0,190,210
237,0,193,207
238,0,204,196
239,0,193,207
240,0,207,193
241,0,185,215
242,0,212,188
243,0,185,215
244,0,182,218
245,0,188,212
246,0,215,185
247,0,185,215
248,0,218,182
249,0,218,182
250,0,182,218
251,0,215,185
252,0,188,212
253,0,206,194
254,0,191,209
255,0,191,209
256,0,194,206
257,0,199,201
258,0,196,204
259,0,207,193
260,0,207,193
261,0,204,196
262,0,201,199
263,0,199,201
264,0,204,196
265,0,190,210
266,0,210,190
267,0,207,193
268,0,204,196
269,0,201,199
270,0,201,199
271,0,201,199
272,0,199,201
273,0,196,204
274,0,207,193
275,0,207,193
276,0,204,196
277,0,199,201
278,0,204,196
279,0,201,199
280,0,201,199
281,0,199,201
282,0,196,204
283,0,190,210
284,0,207,193
285,0,207,193
286,0,193,207
287,0,210,190
288,0,193,207
289,0,196,204
290,0,201,199
291,0,201,199
292,0,204,196
293,0,196,204
294,0,201,199
295,0,196,204
296,0,201,199
297,0,196,204
298,0,204,196
299,0,199,201
300,0,199,201
301,0,204,196
302,0,193,207
303,0,193,207
304,0,204,196
305,0,207,193
306,0,207,193
307,0,204,196
308,0,199,201
309,0,204,196
310,0,207,193
311,0,210,190
312,0,210,190
313,0,187,213
314,0,184,216
315,0,181,219
316,0,181,219
317,0,222,178
318,0,178,222
319,0,178,222
320,0,190,210
321,0,207,193
322,0,201,199
323,0,193,207
324,0,213,187
325,0,190,210
326,0,190,210
327,0,187,213
328,0,184,216
329,0,216,184
330,0,187,213
331,0,184,216
332,0,181,219
333,0,181,219
334,0,213,187
335,0,213,187
336,0,187,213
337,0,216,184
338,0,207,193
339,0,199,201
340,0,199,201
341,0,199,201
342,0,196,204
343,0,196,204
344,0,199,201
345,0,199,201
346,0,204,196
347,0,193,207
348,0,210,190
349,0,201,199
350,0,196,204
351,0,204,196
352,0,201,199
353,0,196,204
354,0,193,207
355,0,207,193
356,0,196,204
357,0,201,199
358,0,199,201
359,0,199,201
360,0,199,201
361,0,201,199
362,0,199,201
363,0,201,199
364,0,201,199
365,0,201,199
366,0,201,199
367,0,199,201
368,0,196,204
369,0,193,207
370,0,210,190
371,0,190,210
372,0,201,199
373,0,204,196
374,0,193,207
375,0,190,210
376,0,187,213
377,0,187,213
378,0,210,190
379,0,207,193
380,0,204,196
381,0,199,201
382,0,199,201
383,0,201,199
384,0,204,196
385,0,196,204
386,0,201,199
387,0,204,196
388,0,204,196
389,0,218,182
390,0,221,179
391,0,221,179
392,0,182,218
393,0,215,185
394,0,218,182
395,0,218,182
396,0,221,179
397,0,221,179
398,0,218,182
399,0,185,215
400,0,188,212
401,0,209,191
402,0,206,194
403,0,209,191
404,0,188,212
405,0,212,188
406,0,185,215
407,0,215,185
408,0,212,188
409,0,215,185
410,0,185,215
411,0,188,212
412,0,191,209
413,0,206,194
414,0,191,209
415,0,191,209
416,0,212,188
417,0,188,212
418,0,185,215
419,0,182,218
420,0,218,182
421,0,221,179
422,0,221,179
423,0,218,182
424,0,185,215
425,0,218,182
426,0,179,221
427,0,179,221
428,0,182,218
429,0,185,215
430,0,212,188
431,0,191,209
432,0,188,212
433,0,212,188
434,0,191,209
435,0,206,194
436,0,203,197
437,0,201,199
438,0,204,196
439,0,207,193
440,0,193,207
441,0,196,204
442,0,193,207
443,0,193,207
444,0,196,204
445,0,199,201
446,0,201,199
447,0,196,204
448,0,204,196
449,0,199,201
450,0,204,196
451,0,207,193
452,0,193,207
453,0,204,196
454,0,201,199
455,0,204,196
456,0,204,196
457,0,207,193
458,0,207,193
459,0,190,210
460,0,210,190
461,0,193,207
462,0,196,204
463,0,207,193
464,0,190,210
465,0,213,187
466,0,213,187
467,0,184,216
468,0,216,184
469,0,181,219
470,0,181,219
471,0,184,216
472,0,187,213
473,0,190,210
474,0,207,193
475,0,204,196
476,0,207,193
477,0,193,207
478,0,204,196
479,0,201,199
480,0,196,204
481,0,193,207
482,0,190,210
483,0,210,190
484,0,207,193
485,0,196,204
486,0,193,207
487,0,207,193
488,0,210,190
489,0,190,210
490,0,193,207
491,0,196,204
492,0,193,207
493,0,207,193
494,0,204,196
495,0,201,199
496,0,201,199
497,0,199,201
498,0,199,201
499,0,204,196
500,0,204,196
501,0,201,199
502,0,204,196
